Группа;Место;Балл, %;Широта;Долгота;Координаты для карт;Ближайший пункт;Тип пункта;До пункта, км;От границы Ташкента, км;Район;Население гекса, чел;Рынков 3км;Супермаркетов 3км;Из них сетевых;Банков 3км;Радиус поиска ЖК, км;Новостроек рядом;Квартир в них;Ввод жилья в районе, тыс. м²/год;Объявлений аренды 2км;Дешевейшее, $/мес;Зона Uzum;Признаков в оценке;Ссылка на карту
до 30 км;27;82;41.363448;69.124646;41.363448, 69.124646;Шамсиабад;село;0.2;3.7;Ташкентский район;3339;0;4;2;0;5.0;6;2781;270.6;0;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.363448,69.124646
до 30 км;58;75;41.343065;69.116177;41.343065, 69.116177;Илгар;город;0.2;3.7;Зангиатинский район;2595;0;2;2;0;5.0;3;1141;184.9;0;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.343065,69.116177
до 30 км;37;79;41.418715;69.193523;41.418715, 69.193523;Куктерак;село;0.9;3.8;Ташкентский район;2247;2;4;1;6;5.0;2;1267;270.6;0;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.418715,69.193523
до 30 км;50;77;41.425276;69.209565;41.425276, 69.209565;Куктерак;село;0.7;3.8;Ташкентский район;2734;2;3;1;6;5.0;1;187;270.6;0;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.425276,69.209565
до 30 км;42;78;41.404809;69.391277;41.404809, 69.391277;Уткир;село;0.4;4.3;Кибрайский район;1919;0;0;0;0;5.0;2;1398;213.9;0;;рекомендуемая;2 из 3;https://www.google.com/maps?q=41.404809,69.391277
до 30 км;34;80;41.41051;69.173476;41.410510, 69.173476;Сагбан;село;0.2;4.4;Ташкентский район;2101;2;4;1;6;5.0;4;1827;270.6;0;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.410510,69.173476
до 30 км;15;86;41.173507;69.131349;41.173507, 69.131349;Ханкурган;село;1.9;5.3;Зангиатинский район;2231;0;0;0;0;5.0;2;2842;184.9;0;;рекомендуемая;2 из 3;https://www.google.com/maps?q=41.173507,69.131349
до 30 км;40;79;41.445091;69.249785;41.445091, 69.249785;Чувалачи;посёлок;0.2;5.3;Ташкентский район;2773;0;0;0;0;5.0;0;0;270.6;0;;рекомендуемая;2 из 3;https://www.google.com/maps?q=41.445091,69.249785
до 30 км;57;76;41.445517;69.226005;41.445517, 69.226005;Алишер Навои;село;0.7;5.3;Ташкентский район;2065;0;0;0;0;5.0;1;187;270.6;0;;рекомендуемая;2 из 3;https://www.google.com/maps?q=41.445517,69.226005
до 30 км;51;77;41.273963;69.055013;41.273963, 69.055013;Тукимачи;село;1.3;5.7;Зангиатинский район;2760;0;0;0;0;5.0;0;0;184.9;0;;рекомендуемая;2 из 3;https://www.google.com/maps?q=41.273963,69.055013
